algo,ramSize,elements,reads,writes
EACLOCK-FWA,12000,1200000,155115,15707
EACLOCK-FWA,13000,1200000,123840,13465
EACLOCK-FWA,14000,1200000,105933,11826
EACLOCK-FWA,15000,1200000,89231,10235
EACLOCK-FWA,16000,1200000,73116,9074
EACLOCK-FWA,17000,1200000,56963,8384
EACLOCK-FWA,18000,1200000,43813,7760
EACLOCK-FWA,19000,1200000,30967,7479
EACLOCK-FWA,20000,1200000,20000,7277
Hyperbolic,100,1200000,998138,173442
Hyperbolic,1000,1200000,632879,94916
Hyperbolic,2000,1200000,452583,58297
Hyperbolic,3000,1200000,335696,35654
Hyperbolic,4000,1200000,257488,20714
Hyperbolic,5000,1200000,208430,11734
Hyperbolic,6000,1200000,187811,9005
Hyperbolic,7000,1200000,177557,8535
Hyperbolic,8000,1200000,168930,8359
Hyperbolic,9000,1200000,160727,8263
Hyperbolic,10000,1200000,152558,8127
Hyperbolic,11000,1200000,144325,8045
Hyperbolic,12000,1200000,133972,7943
Hyperbolic,13000,1200000,120977,7857
Hyperbolic,14000,1200000,106148,7743
Hyperbolic,15000,1200000,90593,7663
Hyperbolic,16000,1200000,74810,7561
Hyperbolic,17000,1200000,59194,7467
Hyperbolic,18000,1200000,45496,7369
Hyperbolic,19000,1200000,32040,7312
Hyperbolic,20000,1200000,20000,7277
LIRS,100,1200000,915096,161733
LIRS,1000,1200000,516734,75458
LIRS,2000,1200000,269355,25705
LIRS,3000,1200000,225766,16594
LIRS,4000,1200000,210483,13581
LIRS,5000,1200000,190445,12798
LIRS,6000,1200000,178461,12541
LIRS,7000,1200000,166910,12288
LIRS,8000,1200000,155549,12030
LIRS,9000,1200000,145247,11549
LIRS,10000,1200000,138183,10734
LIRS,11000,1200000,131245,9916
LIRS,12000,1200000,112749,9499
LIRS,13000,1200000,94989,9079
LIRS,14000,1200000,84305,8783
LIRS,15000,1200000,74595,8546
LIRS,16000,1200000,69540,8263
LIRS,17000,1200000,53755,8111
LIRS,18000,1200000,44693,7842
LIRS,19000,1200000,33965,7603
LIRS,20000,1200000,20000,7277
LRU-2,100,1200000,912050,154507
LRU-2,1000,1200000,510315,68739
LRU-2,2000,1200000,271460,20655
LRU-2,3000,1200000,226068,13093
LRU-2,4000,1200000,209585,11506
LRU-2,5000,1200000,203434,11164
LRU-2,6000,1200000,197578,10825
LRU-2,7000,1200000,191624,10435
LRU-2,8000,1200000,185673,10093
LRU-2,9000,1200000,179835,9752
LRU-2,10000,1200000,137876,9439
LRU-2,11000,1200000,133216,9227
LRU-2,12000,1200000,128572,9031
LRU-2,13000,1200000,119318,8805
LRU-2,14000,1200000,85266,8508
LRU-2,15000,1200000,80523,8334
LRU-2,16000,1200000,75912,8166
LRU-2,17000,1200000,52256,7857
LRU-2,18000,1200000,47645,7697
LRU-2,19000,1200000,33408,7457
LRU-2,20000,1200000,20000,7277
LeanEvict,100,1200000,1028482,177681
LeanEvict,1000,1200000,653010,101339
LeanEvict,2000,1200000,452124,59061
LeanEvict,3000,1200000,321907,31952
LeanEvict,4000,1200000,252668,17866
LeanEvict,5000,1200000,219392,11768
LeanEvict,6000,1200000,203155,9418
LeanEvict,7000,1200000,192334,8790
LeanEvict,8000,1200000,182910,8685
LeanEvict,9000,1200000,172673,8638
LeanEvict,10000,1200000,160768,8608
LeanEvict,11000,1200000,148255,8571
LeanEvict,12000,1200000,134826,8512
LeanEvict,13000,1200000,121074,8460
LeanEvict,14000,1200000,105940,8372
LeanEvict,15000,1200000,91151,8287
LeanEvict,16000,1200000,74844,8158
LeanEvict,17000,1200000,58846,8004
LeanEvict,18000,1200000,45084,7819
LeanEvict,19000,1200000,32321,7546
