ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,2Q,S3fifo,LIRS,W-TinyLFU,TinyLFU_3,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,94.9255,89.7192,89.3661,88.7477,91.8908,90.7150,95.7219,89.1862,87.8556,90.9371,86.0239,86.0333,95.8920,95.6616,95.2458,95.8449,96.0533
200,87.8802,85.1233,84.2755,84.5894,87.4461,86.6258,92.3720,85.0979,83.4261,86.9331,80.9895,80.9996,92.7227,92.1493,91.5453,92.7033,93.1291
300,86.9838,81.2968,80.4723,81.5228,84.0831,83.5548,89.5942,82.0876,80.1908,83.8792,77.3276,77.3614,90.0419,89.2990,88.5515,90.0255,90.6649
400,78.1871,78.0002,77.3942,78.9914,81.3482,80.9702,87.1508,79.5248,77.5457,81.3212,74.3551,74.3736,87.6737,86.7946,85.9406,87.6786,88.4834
500,76.9529,75.9304,74.7623,76.8290,78.7674,78.6940,84.9261,77.3276,75.2721,79.0589,71.8594,71.8903,85.5130,84.5250,83.5902,85.4945,86.4773
600,78.8168,73.4230,72.3802,74.8862,76.4428,76.6195,82.8961,75.3450,73.2133,76.9993,69.6364,69.6590,83.5405,82.4438,81.4139,83.4925,84.6150
700,76.0377,71.7453,70.2495,73.1218,74.2987,74.7346,80.9671,73.5296,71.3581,75.1114,67.6181,67.6820,81.6555,80.4574,79.3754,81.6697,82.8390
800,71.1970,69.2900,68.2248,71.4876,72.3540,72.9591,79.1540,71.8442,69.6810,73.3618,65.7854,65.8593,79.8929,78.6033,77.4756,79.9174,81.2098
900,66.4429,66.6182,66.4171,69.9648,70.6358,71.2738,77.4466,70.2920,68.0732,71.7006,64.0721,64.1422,78.2112,76.8617,75.6506,78.2107,79.5895
1000,66.5659,64.8703,64.7329,68.5316,68.8559,69.7273,75.7892,68.7986,66.5979,70.1469,62.4537,62.5407,76.6023,75.1600,73.9353,76.6229,78.0648
2000,51.2205,51.5656,51.4938,57.0473,55.8402,56.8466,61.8748,56.8564,54.5890,57.2638,50.1556,50.2664,62.8600,60.9617,59.5828,62.9435,65.0487
3000,41.8234,41.8778,41.8465,48.4894,45.8698,46.7702,50.7670,47.4846,45.3222,47.1878,41.2467,41.3845,51.7553,49.6583,48.4236,51.9376,54.3551
4000,33.9117,33.8677,33.9475,39.6989,37.4436,38.1436,41.2603,39.3673,37.4226,38.5179,33.8488,34.0044,42.2188,40.0572,39.0039,42.4107,44.9077
5000,27.1412,27.1210,27.1280,32.7873,30.0147,30.4946,32.8307,32.0357,30.3957,30.8206,27.4861,27.5902,33.6432,31.6146,30.8187,33.8334,36.4347
6000,21.0940,21.0809,21.0320,25.1499,23.0662,23.5337,25.1734,25.1673,23.9487,23.8314,21.6415,21.6671,25.8329,24.0206,23.5223,26.0851,28.5121
7000,15.5124,15.5002,15.4362,18.2117,16.9627,17.1777,18.2265,18.6786,17.6727,17.3555,16.1709,16.2420,18.6922,17.2286,16.9906,18.9165,20.9959
8000,10.2964,10.2802,10.2580,11.8412,11.2358,11.2676,11.8471,12.6039,11.9370,11.3839,11.0917,11.0675,12.1188,11.0935,11.0369,12.3212,13.9974
9000,5.4752,5.4643,5.4283,6.0626,5.9701,5.8247,6.0627,6.8482,6.5399,5.8787,6.1501,6.1457,6.1994,5.6774,5.6910,6.2630,7.2763
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.7831,1.8171,1.0000,1.6193,1.6081,1.0000,1.0000,1.0000,1.0000,1.0000
