algo,ramSize,elements,reads,writes
2Q,100,999998,635243,0
2Q,200,999998,565434,0
2Q,300,999998,523442,0
2Q,400,999998,492171,0
2Q,500,999998,467148,0
2Q,600,999998,446171,0
2Q,700,999998,427640,0
2Q,800,999998,411605,0
2Q,900,999998,397220,0
2Q,1000,999998,384201,0
2Q,2000,999998,293703,0
2Q,3000,999998,235183,0
2Q,4000,999998,190304,0
2Q,5000,999998,152000,0
2Q,6000,999998,118433,0
2Q,7000,999998,89120,0
2Q,8000,999998,61751,0
2Q,9000,999998,37700,0
2Q,10000,999998,17745,0
2Q,11000,999998,17329,0
ARC,100,999998,624111,0
ARC,200,999998,554421,0
ARC,300,999998,512933,0
ARC,400,999998,482246,0
ARC,500,999998,457564,0
ARC,600,999998,437126,0
ARC,700,999998,419763,0
ARC,800,999998,404494,0
ARC,900,999998,390338,0
ARC,1000,999998,377867,0
ARC,2000,999998,291954,0
ARC,3000,999998,238152,0
ARC,4000,999998,188438,0
ARC,5000,999998,153354,0
ARC,6000,999998,115435,0
ARC,7000,999998,82802,0
ARC,8000,999998,54519,0
ARC,9000,999998,29762,0
ARC,10000,999998,10014,0
ARC,11000,999998,10001,0
CLOCK,100,999998,749237,0
CLOCK,200,999998,671888,0
CLOCK,300,999998,623077,0
CLOCK,400,999998,585542,0
CLOCK,500,999998,555646,0
CLOCK,600,999998,529727,0
CLOCK,700,999998,508280,0
CLOCK,800,999998,488876,0
CLOCK,900,999998,471083,0
CLOCK,1000,999998,455110,0
CLOCK,2000,999998,340109,0
CLOCK,3000,999998,264371,0
CLOCK,4000,999998,206663,0
CLOCK,5000,999998,159310,0
CLOCK,6000,999998,119994,0
CLOCK,7000,999998,86087,0
CLOCK,8000,999998,55990,0
CLOCK,9000,999998,30528,0
CLOCK,10000,999998,10011,0
CLOCK,11000,999998,10001,0
Clock Sweep,100,999998,729898,0
Clock Sweep,200,999998,652321,0
Clock Sweep,300,999998,603177,0
Clock Sweep,400,999998,565950,0
Clock Sweep,500,999998,535938,0
Clock Sweep,600,999998,510605,0
Clock Sweep,700,999998,488355,0
Clock Sweep,800,999998,468754,0
Clock Sweep,900,999998,451399,0
Clock Sweep,1000,999998,435520,0
Clock Sweep,2000,999998,322949,0
Clock Sweep,3000,999998,249359,0
Clock Sweep,4000,999998,194049,0
Clock Sweep,5000,999998,149461,0
Clock Sweep,6000,999998,112090,0
Clock Sweep,7000,999998,80449,0
Clock Sweep,8000,999998,52992,0
Clock Sweep,9000,999998,29258,0
Clock Sweep,10000,999998,10013,0
Clock Sweep,11000,999998,10001,0
EACLOCK,100,999998,636330,0
EACLOCK,200,999998,564730,0
EACLOCK,300,999998,521283,0
EACLOCK,400,999998,488041,0
EACLOCK,500,999998,462714,0
EACLOCK,600,999998,441785,0
EACLOCK,700,999998,423417,0
EACLOCK,800,999998,406833,0
EACLOCK,900,999998,392665,0
EACLOCK,1000,999998,379635,0
EACLOCK,2000,999998,287684,0
EACLOCK,3000,999998,228207,0
EACLOCK,4000,999998,183273,0
EACLOCK,5000,999998,145174,0
EACLOCK,6000,999998,112285,0
EACLOCK,7000,999998,82637,0
EACLOCK,8000,999998,55685,0
EACLOCK,9000,999998,31152,0
EACLOCK,10000,999998,10015,0
EACLOCK,11000,999998,10001,0
EACLOCK-FDW,100,999998,625267,0
EACLOCK-FDW,200,999998,540113,0
EACLOCK-FDW,300,999998,496026,0
EACLOCK-FDW,400,999998,463039,0
EACLOCK-FDW,500,999998,436546,0
EACLOCK-FDW,600,999998,415343,0
EACLOCK-FDW,700,999998,396304,0
EACLOCK-FDW,800,999998,380218,0
EACLOCK-FDW,900,999998,365839,0
EACLOCK-FDW,1000,999998,352056,0
EACLOCK-FDW,2000,999998,262730,0
EACLOCK-FDW,3000,999998,207959,0
EACLOCK-FDW,4000,999998,166962,0
EACLOCK-FDW,5000,999998,132367,0
EACLOCK-FDW,6000,999998,102917,0
EACLOCK-FDW,7000,999998,76255,0
EACLOCK-FDW,8000,999998,52602,0
EACLOCK-FDW,9000,999998,30041,0
EACLOCK-FDW,10000,999998,10015,0
EACLOCK-FDW,11000,999998,10001,0
EACLOCK-FWA,100,999998,636330,0
EACLOCK-FWA,200,999998,564730,0
EACLOCK-FWA,300,999998,521283,0
EACLOCK-FWA,400,999998,488041,0
EACLOCK-FWA,500,999998,462714,0
EACLOCK-FWA,600,999998,441785,0
EACLOCK-FWA,700,999998,423417,0
EACLOCK-FWA,800,999998,406833,0
EACLOCK-FWA,900,999998,392665,0
EACLOCK-FWA,1000,999998,379635,0
EACLOCK-FWA,2000,999998,287684,0
EACLOCK-FWA,3000,999998,228207,0
EACLOCK-FWA,4000,999998,183273,0
EACLOCK-FWA,5000,999998,145174,0
EACLOCK-FWA,6000,999998,112285,0
EACLOCK-FWA,7000,999998,82637,0
EACLOCK-FWA,8000,999998,55685,0
EACLOCK-FWA,9000,999998,31152,0
EACLOCK-FWA,10000,999998,10015,0
EACLOCK-FWA,11000,999998,10001,0
Hyperbolic,100,999998,715612,0
Hyperbolic,200,999998,637801,0
Hyperbolic,300,999998,589324,0
Hyperbolic,400,999998,552165,0
Hyperbolic,500,999998,522579,0
Hyperbolic,600,999998,497129,0
Hyperbolic,700,999998,475139,0
Hyperbolic,800,999998,456051,0
Hyperbolic,900,999998,439055,0
Hyperbolic,1000,999998,423377,0
Hyperbolic,2000,999998,313174,0
Hyperbolic,3000,999998,242157,0
Hyperbolic,4000,999998,188682,0
Hyperbolic,5000,999998,146035,0
