ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,89.3661,88.5630,0.0000,88.7477,91.8908,90.7150,95.7219,95.8920,95.6616,95.2458,95.8449,96.0533
200,84.2755,83.4228,0.0000,84.5894,87.4461,86.6258,92.3720,92.7227,92.1493,91.5453,92.7033,93.1291
300,80.4723,79.6833,0.0000,81.5228,84.0831,83.5548,89.5942,90.0419,89.2990,88.5515,90.0255,90.6649
400,77.3942,76.6182,0.0000,78.9914,81.3482,80.9702,87.1508,87.6737,86.7946,85.9406,87.6786,88.4834
500,74.7623,73.9663,0.0000,76.8290,78.7674,78.6940,84.9261,85.5130,84.5250,83.5902,85.4945,86.4773
600,72.3802,71.6419,0.0000,74.8862,76.4428,76.6195,82.8961,83.5405,82.4438,81.4139,83.4925,84.6150
700,70.2495,69.5179,0.0000,73.1218,74.2987,74.7346,80.9671,81.6555,80.4574,79.3754,81.6697,82.8390
800,68.2248,67.6096,0.0000,71.4876,72.3540,72.9591,79.1540,79.8929,78.6033,77.4756,79.9174,81.2098
900,66.4171,65.7979,0.0000,69.9648,70.6358,71.2738,77.4466,78.2112,76.8617,75.6506,78.2107,79.5895
1000,64.7329,64.1198,0.0000,68.5316,68.8559,69.7273,75.7892,76.6023,75.1600,73.9353,76.6229,78.0648
2000,51.4938,51.1223,0.0000,57.0473,55.8402,56.8466,61.8748,62.8600,60.9617,59.5828,62.9435,65.0487
3000,41.8465,41.5943,0.0000,48.4894,45.8698,46.7702,50.7670,51.7553,49.6583,48.4236,51.9376,54.3551
4000,33.9475,33.8440,0.0000,39.6989,37.4436,38.1436,41.2603,42.2188,40.0572,39.0039,42.4107,44.9077
5000,27.1280,27.1080,0.0000,32.7873,30.0147,30.4946,32.8307,33.6432,31.6146,30.8187,33.8334,36.4347
6000,21.0320,21.0434,0.0000,25.1499,23.0662,23.5337,25.1734,25.8329,24.0206,23.5223,26.0851,28.5121
7000,15.4362,15.4390,0.0000,18.2117,16.9627,17.1777,18.2265,18.6922,17.2286,16.9906,18.9165,20.9959
8000,10.2580,10.2615,0.0000,11.8412,11.2358,11.2676,11.8471,12.1188,11.0935,11.0369,12.3212,13.9974
9000,5.4283,5.4283,0.0000,6.0626,5.9701,5.8247,6.0627,6.1994,5.6774,5.6910,6.2630,7.2763
10000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
