ramSize,amclock_Final,amclock_WA,amclock_DW,arc,WATT,lru_k2_z-1,lru,clock,clocksweep,hyperbolic20,lean30_2,lrfu0.8,random
100,49.2611,49.2611,49.4058,50.2930,52.9937,51.3554,61.0018,62.3067,59.9450,58.4440,62.4131,0.0000,65.8134
200,41.9706,41.9706,41.6201,43.2427,45.4992,44.2047,52.6960,53.9426,51.6599,50.2599,54.0351,0.0000,57.5585
300,37.7098,37.7098,37.2421,39.2038,41.0233,40.0477,47.7104,48.9178,46.7077,45.3991,49.0250,0.0000,52.4863
400,34.6904,34.6904,34.2418,36.3338,37.9845,37.0547,44.1317,45.2854,43.1434,41.8713,45.4499,0.0000,48.8802
500,32.2693,32.2693,31.9446,34.0930,35.5485,34.7087,41.3356,42.4663,40.3537,39.1293,42.5854,0.0000,46.0319
600,30.3731,30.3731,30.0593,32.2811,33.5045,32.7966,39.0400,40.1522,38.0541,36.8784,40.3007,0.0000,43.6884
700,28.7804,28.7804,28.4762,30.7370,31.8138,31.1948,37.0774,38.1488,36.1241,34.9912,38.2931,0.0000,41.6871
800,27.3865,27.3865,27.1020,29.3942,30.3674,29.7779,35.3618,36.4334,34.4048,33.3102,36.5526,0.0000,39.9251
900,26.1266,26.1266,25.9116,28.2252,29.0453,28.5217,33.8240,34.8648,32.8964,31.8440,35.0510,0.0000,38.3639
1000,25.0485,25.0485,24.8126,27.1980,27.8946,27.4045,32.4590,33.4679,31.5212,30.4987,33.6098,0.0000,36.9523
2000,17.8486,17.8486,17.7455,20.3619,20.1138,19.8700,23.2230,24.0613,22.3782,21.6163,24.1886,0.0000,27.1964
3000,13.7169,13.7169,13.6661,16.3665,15.3919,15.3191,17.6296,18.3184,16.8735,16.3186,18.4642,0.0000,21.0768
4000,10.7615,10.7615,10.7560,12.7404,12.0120,11.9486,13.5614,14.1218,12.9280,12.5191,14.2218,0.0000,16.6377
5000,8.4329,8.4329,8.4329,10.2958,9.3836,9.2752,10.3836,10.7961,9.8443,9.5768,10.9119,0.0000,12.9384
6000,6.5102,6.5102,6.5115,7.6951,7.0839,7.0334,7.7586,8.0687,7.3266,7.1679,8.1608,0.0000,9.8689
7000,4.8239,4.8239,4.8239,5.5020,5.2105,5.1643,5.5380,5.7559,5.2453,5.1902,5.8701,0.0000,7.1830
8000,3.3444,3.3444,3.3444,3.6795,3.5854,3.5129,3.6945,3.7992,3.5046,3.4933,3.8636,0.0000,4.7731
9000,2.0348,2.0348,2.0348,2.1449,2.1816,2.0915,2.1520,2.2073,2.0581,2.0797,2.2251,0.0000,2.7302
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000
