ramSize,EACLOCK,EACLOCK-FDW,EACLOCK-FWA,ARC,WATT,LRU-2,lru,CLOCK,Clock Sweep,Hyperbolic,LeanEvict,Random
100,90.7961,90.0100,90.7961,0.0000,0.0000,0.0000,95.7219,95.8920,0.0000,0.0000,0.0000,0.0000
200,86.0396,84.9973,86.0396,0.0000,0.0000,0.0000,92.3720,92.7227,0.0000,0.0000,0.0000,0.0000
300,81.8237,81.2006,81.8237,0.0000,0.0000,0.0000,89.5942,90.0419,0.0000,0.0000,0.0000,0.0000
400,78.9006,78.3763,78.9006,0.0000,0.0000,0.0000,87.1508,87.6737,0.0000,0.0000,0.0000,0.0000
500,76.4368,75.1912,76.4368,0.0000,0.0000,0.0000,84.9261,85.5130,0.0000,0.0000,0.0000,0.0000
600,74.3456,73.2478,74.3456,0.0000,0.0000,0.0000,82.8961,83.5405,0.0000,0.0000,0.0000,0.0000
700,72.3972,70.6897,72.3972,0.0000,0.0000,0.0000,80.9671,81.6555,0.0000,0.0000,0.0000,0.0000
800,69.8320,69.4851,69.8320,0.0000,0.0000,0.0000,79.1540,79.8929,0.0000,0.0000,0.0000,0.0000
900,68.3063,67.4923,68.3063,0.0000,0.0000,0.0000,77.4466,78.2112,0.0000,0.0000,0.0000,0.0000
1000,67.7564,65.1738,67.7564,0.0000,0.0000,0.0000,75.7892,76.6023,0.0000,0.0000,0.0000,0.0000
2000,54.1144,52.9873,54.1144,0.0000,0.0000,0.0000,61.8748,62.8600,0.0000,0.0000,0.0000,0.0000
3000,43.6864,43.9627,43.6864,0.0000,0.0000,0.0000,50.7670,51.7553,0.0000,0.0000,0.0000,0.0000
4000,35.3184,35.7353,35.3184,0.0000,0.0000,0.0000,41.2603,42.2188,0.0000,0.0000,0.0000,0.0000
5000,28.3074,27.6476,28.3074,0.0000,0.0000,0.0000,32.8307,33.6432,0.0000,0.0000,0.0000,0.0000
6000,21.1868,21.1869,21.1868,0.0000,0.0000,0.0000,25.1734,25.8329,0.0000,0.0000,0.0000,0.0000
7000,15.4867,15.4867,15.4867,0.0000,0.0000,0.0000,18.2265,18.6922,0.0000,0.0000,0.0000,0.0000
8000,10.4118,10.5526,10.4118,0.0000,0.0000,0.0000,11.8471,12.1188,0.0000,0.0000,0.0000,0.0000
9000,5.4261,5.4261,5.4261,0.0000,0.0000,0.0000,6.0627,6.1994,0.0000,0.0000,0.0000,0.0000
10000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
