algo,ramSize,elements,reads,writes
Hyperbolic,3000,0,55424,26547
Hyperbolic,4000,0,43674,22307
Hyperbolic,5000,0,36305,19289
Hyperbolic,6000,0,30887,17061
Hyperbolic,7000,0,26941,15480
Hyperbolic,8000,0,23914,14295
Hyperbolic,9000,0,21618,13474
Hyperbolic,10000,0,19831,12887
Hyperbolic,11000,0,18534,12424
Hyperbolic,12000,0,17588,12144
Hyperbolic,13000,0,16948,11985
Hyperbolic,14000,0,16480,11840
Hyperbolic,15000,0,16230,11773
Hyperbolic,16000,0,16129,11740
Hyperbolic,17000,0,16128,11740
LIRS,100,0,967038,0
LIRS,700,0,914367,0
LIRS,800,0,908731,0
LIRS,900,0,903495,0
LIRS,1000,0,898501,0
LIRS,2000,0,859076,0
LIRS,3000,0,829296,0
LIRS,4000,0,803962,0
LIRS,5000,0,781929,0
LIRS,6000,0,762187,0
LIRS,7000,0,743715,0
LIRS,8000,0,726724,0
LIRS,9000,0,710844,0
LIRS,10000,0,695612,0
LIRS,11000,0,681378,0
LIRS,12000,0,667503,0
LIRS,13000,0,654086,0
LIRS,14000,0,641375,0
LIRS,15000,0,629201,0
LIRS,16000,0,617417,0
LIRS,17000,0,605722,0
LRU-2,100,0,351005,77520
LRU-2,700,0,164232,48192
LRU-2,800,0,153975,46361
LRU-2,900,0,145371,44896
LRU-2,1000,0,137294,43708
LRU-2,2000,0,84845,34801
LRU-2,3000,0,62068,28817
LRU-2,4000,0,50057,24507
LRU-2,5000,0,41414,21219
LRU-2,6000,0,34760,18603
LRU-2,7000,0,29876,16656
LRU-2,8000,0,26004,15080
LRU-2,9000,0,23005,13821
LRU-2,10000,0,20689,12950
LRU-2,11000,0,19052,12393
LRU-2,12000,0,17828,12094
LRU-2,13000,0,16933,11931
LRU-2,14000,0,16449,11826
LRU-2,15000,0,16218,11765
LRU-2,16000,0,16129,11741
LRU-2,17000,0,16128,11740
LeanEvict,100,0,294006,76502
LeanEvict,700,0,159585,55549
LeanEvict,800,0,149610,53460
LeanEvict,900,0,140687,51434
LeanEvict,1000,0,132874,49656
LeanEvict,2000,0,83633,37317
LeanEvict,3000,0,58105,29917
LeanEvict,4000,0,43998,24983
LeanEvict,5000,0,35897,21531
LeanEvict,6000,0,30800,19314
LeanEvict,7000,0,27015,17535
LeanEvict,8000,0,24094,16026
LeanEvict,9000,0,21996,14931
LeanEvict,10000,0,20259,14095
LeanEvict,11000,0,18885,13303
LeanEvict,12000,0,17852,12717
LeanEvict,13000,0,17060,12274
LeanEvict,14000,0,16551,11986
LeanEvict,15000,0,16234,11802
LeanEvict,16000,0,16131,11742
LeanEvict,17000,0,16128,11740
Random,100,0,324344,78427
Random,700,0,178221,58544
Random,800,0,167638,56818
Random,900,0,158915,55234
Random,1000,0,150511,53439
Random,2000,0,99269,42582
Random,3000,0,72591,35329
Random,4000,0,57433,30427
Random,5000,0,47056,26410
Random,6000,0,39646,23368
Random,7000,0,34591,21026
Random,8000,0,30277,19016
Random,9000,0,26858,17342
Random,10000,0,24143,15937
Random,11000,0,21770,14716
Random,12000,0,19976,13798
Random,13000,0,18536,13021
Random,14000,0,17340,12358
Random,15000,0,16528,11930
Random,16000,0,16137,11744
Random,17000,0,16128,11740
S3-FIFO,100,0,0,0
S3-FIFO,700,0,0,0
S3-FIFO,800,0,0,0
S3-FIFO,900,0,0,0
S3-FIFO,1000,0,0,0
S3-FIFO,2000,0,0,0
S3-FIFO,3000,0,0,0
S3-FIFO,4000,0,0,0
S3-FIFO,5000,0,0,0
S3-FIFO,6000,0,0,0
S3-FIFO,7000,0,0,0
S3-FIFO,8000,0,0,0
S3-FIFO,9000,0,0,0
S3-FIFO,10000,0,0,0
S3-FIFO,11000,0,0,0
S3-FIFO,12000,0,0,0
S3-FIFO,13000,0,0,0
S3-FIFO,14000,0,0,0
S3-FIFO,15000,0,0,0
S3-FIFO,16000,0,0,0
S3-FIFO,17000,0,0,0
S3fifo,100,0,307988,11740
S3fifo,700,0,128503,11740
S3fifo,800,0,121917,11740
S3fifo,900,0,116033,11740
S3fifo,1000,0,110802,11740
S3fifo,2000,0,75399,11740
S3fifo,3000,0,57496,11740
S3fifo,4000,0,46766,11740
S3fifo,5000,0,39229,11740
S3fifo,6000,0,33660,11740
S3fifo,7000,0,29676,11740
S3fifo,8000,0,26931,11740
S3fifo,9000,0,25032,11740
S3fifo,10000,0,23616,11740
S3fifo,11000,0,22583,11740
S3fifo,12000,0,21944,11740
S3fifo,13000,0,21629,11740
S3fifo,14000,0,21505,11740
S3fifo,15000,0,21366,11740
S3fifo,16000,0,21246,11740
S3fifo,17000,0,21141,11740
W-TinyLFU,100,0,0,0
W-TinyLFU,700,0,0,0
W-TinyLFU,800,0,0,0
W-TinyLFU,900,0,0,0
W-TinyLFU,1000,0,0,0
W-TinyLFU,2000,0,0,0
W-TinyLFU,3000,0,0,0
W-TinyLFU,4000,0,0,0
W-TinyLFU,5000,0,0,0
W-TinyLFU,6000,0,0,0
W-TinyLFU,7000,0,0,0
W-TinyLFU,8000,0,0,0
W-TinyLFU,9000,0,0,0
W-TinyLFU,10000,0,0,0
W-TinyLFU,11000,0,0,0
W-TinyLFU,12000,0,0,0
W-TinyLFU,13000,0,0,0
W-TinyLFU,14000,0,0,0
W-TinyLFU,15000,0,0,0
W-TinyLFU,16000,0,0,0
W-TinyLFU,17000,0,0,0
WATT,100,0,291087,72683
WATT,700,0,135253,43122
WATT,800,0,128210,41637
WATT,900,0,121577,40309
WATT,1000,0,115407,38869
WATT,2000,0,78366,29686
WATT,3000,0,58099,24083
WATT,4000,0,44892,20290
WATT,5000,0,36474,17972
WATT,6000,0,30714,16322
WATT,7000,0,26438,15185
WATT,8000,0,23488,14348
WATT,9000,0,21264,13638
WATT,10000,0,19585,13040
WATT,11000,0,18485,12583
WATT,12000,0,17626,12287
WATT,13000,0,16992,12037
WATT,14000,0,16524,11885
WATT,15000,0,16228,11764
