ramSize,lru,clock,mclock0101,mclock0201,mclock0301,mclock0401,mclock0501,mclock0601,mclock0701,mclock0801,mclock01001,mclock01401,mclock01601,mclock02001,mclock02401
100,95.7219,95.8920,95.0212,94.1043,93.3671,92.6575,92.1603,91.7312,91.3575,91.0227,90.4694,89.7106,89.3715,88.9188,88.5619
200,92.3720,92.7227,91.2840,89.8760,88.8721,88.0953,87.4726,86.9025,86.4431,86.0357,85.4554,84.5788,84.2844,83.7490,83.4317
300,89.5942,90.0419,88.1826,86.5671,85.4072,84.4840,83.8114,83.1853,82.7186,82.3041,81.6328,80.7643,80.4669,80.0291,79.6820
400,87.1508,87.6737,85.5162,83.7115,82.4038,81.4319,80.6699,80.0530,79.5791,79.1666,78.5727,77.6983,77.4074,76.9451,76.6056
500,84.9261,85.5130,83.1093,81.1143,79.7550,78.7221,77.9491,77.3641,76.9193,76.5086,75.8589,75.0380,74.7305,74.2801,73.9580
600,82.8961,83.5405,80.9030,78.7715,77.3233,76.3145,75.5720,74.9540,74.4694,74.0908,73.4875,72.6512,72.3724,71.9436,71.6374
700,80.9671,81.6555,78.8423,76.6075,75.1422,74.1154,73.3644,72.7531,72.2871,71.8708,71.2743,70.4953,70.2296,69.7868,69.5134
800,79.1540,79.8929,76.8618,74.5587,73.1158,72.0787,71.2971,70.7112,70.2314,69.8510,69.2779,68.4815,68.2112,67.8588,67.6003
900,77.4466,78.2112,75.0237,72.6704,71.1850,70.1383,69.3847,68.7949,68.3481,67.9776,67.4036,66.6438,66.4013,66.0508,65.7959
1000,75.7892,76.6023,73.2848,70.8695,69.3381,68.3492,67.5751,67.0352,66.5777,66.2038,65.6508,64.9454,64.7107,64.3567,64.1185
2000,61.8748,62.8600,58.7799,56.3941,55.0693,54.2108,53.6032,53.1535,52.7692,52.5126,52.1280,51.6032,51.4825,51.2492,51.1091
3000,50.7670,51.7553,47.5742,45.4481,44.3695,43.7509,43.3103,43.0034,42.7624,42.5627,42.2822,41.9181,41.7839,41.6568,41.5664
4000,41.2603,42.2188,38.1795,36.4964,35.6987,35.1945,34.8817,34.6571,34.4855,34.3525,34.1518,33.9591,33.9160,33.8721,33.8795
5000,32.8307,33.6432,30.0593,28.7786,28.1937,27.8528,27.6234,27.4706,27.3758,27.2987,27.2347,27.1246,27.1175,27.1336,27.1381
6000,25.1734,25.8329,22.9029,21.9929,21.6058,21.4013,21.2747,21.2106,21.1739,21.1440,21.0870,21.0347,21.0262,21.0427,21.0925
7000,18.2265,18.6922,16.4406,15.9002,15.7041,15.6143,15.5510,15.4979,15.4610,15.4376,15.4213,15.4433,15.4475,15.4632,15.5124
8000,11.8471,12.1188,10.6974,10.4377,10.3469,10.2961,10.2583,10.2377,10.2222,10.2183,10.2302,10.2675,10.2666,10.2743,10.2964
9000,6.0627,6.1994,5.5388,5.4417,5.4252,5.4190,5.4108,5.3990,5.3948,5.3991,5.3933,5.4293,5.4349,5.4556,5.4752
10000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
