algo,ramSize,elements,reads,writes
LIRS,7000,0,25072,20858
LIRS,8000,0,22594,19145
LIRS,9000,0,20653,17618
LIRS,10000,0,19173,16346
LIRS,11000,0,18105,15322
LIRS,12000,0,17364,14467
LIRS,13000,0,16805,13599
LIRS,14000,0,16440,12852
LIRS,15000,0,16208,12191
LIRS,16000,0,16130,11784
LIRS,17000,0,16128,11740
LRU-2,100,0,0,0
LRU-2,700,0,0,0
LRU-2,800,0,0,0
LRU-2,900,0,0,0
LRU-2,1000,0,0,0
LRU-2,2000,0,0,0
LRU-2,3000,0,0,0
LRU-2,4000,0,0,0
LRU-2,5000,0,0,0
LRU-2,6000,0,0,0
LRU-2,7000,0,0,0
LRU-2,8000,0,0,0
LRU-2,9000,0,0,0
LRU-2,10000,0,0,0
LRU-2,11000,0,0,0
LRU-2,12000,0,0,0
LRU-2,13000,0,0,0
LRU-2,14000,0,0,0
LRU-2,15000,0,0,0
LRU-2,16000,0,0,0
LRU-2,17000,0,0,0
LeanEvict,100,0,0,0
LeanEvict,700,0,0,0
LeanEvict,800,0,0,0
LeanEvict,900,0,0,0
LeanEvict,1000,0,0,0
LeanEvict,2000,0,0,0
LeanEvict,3000,0,0,0
LeanEvict,4000,0,0,0
LeanEvict,5000,0,0,0
LeanEvict,6000,0,0,0
LeanEvict,7000,0,0,0
LeanEvict,8000,0,0,0
LeanEvict,9000,0,0,0
LeanEvict,10000,0,0,0
LeanEvict,11000,0,0,0
LeanEvict,12000,0,0,0
LeanEvict,13000,0,0,0
LeanEvict,14000,0,0,0
LeanEvict,15000,0,0,0
LeanEvict,16000,0,0,0
LeanEvict,17000,0,0,0
Random,100,0,0,0
Random,700,0,0,0
Random,800,0,0,0
Random,900,0,0,0
Random,1000,0,0,0
Random,2000,0,0,0
Random,3000,0,0,0
Random,4000,0,0,0
Random,5000,0,0,0
Random,6000,0,0,0
Random,7000,0,0,0
Random,8000,0,0,0
Random,9000,0,0,0
Random,10000,0,0,0
Random,11000,0,0,0
Random,12000,0,0,0
Random,13000,0,0,0
Random,14000,0,0,0
Random,15000,0,0,0
Random,16000,0,0,0
Random,17000,0,0,0
S3-FIFO,100,0,307988,71104
S3-FIFO,700,0,128503,49753
S3-FIFO,800,0,121917,48361
S3-FIFO,900,0,116033,47083
S3-FIFO,1000,0,110802,45974
S3-FIFO,2000,0,75399,37045
S3-FIFO,3000,0,57496,30830
S3-FIFO,4000,0,46766,26479
S3-FIFO,5000,0,39229,23019
S3-FIFO,6000,0,33660,20588
S3-FIFO,7000,0,29676,19114
S3-FIFO,8000,0,26931,18162
S3-FIFO,9000,0,25032,17456
S3-FIFO,10000,0,23616,16602
S3-FIFO,11000,0,22583,15966
S3-FIFO,12000,0,21944,15619
S3-FIFO,13000,0,21629,15274
S3-FIFO,14000,0,21505,15193
S3-FIFO,15000,0,21366,15096
S3-FIFO,16000,0,21246,14988
S3-FIFO,17000,0,21141,14927
W-TinyLFU,100,0,308988,11740
W-TinyLFU,700,0,164220,11740
W-TinyLFU,800,0,156221,11740
W-TinyLFU,900,0,149034,11740
W-TinyLFU,1000,0,140684,11740
W-TinyLFU,2000,0,94011,11740
W-TinyLFU,3000,0,76735,11740
W-TinyLFU,4000,0,63345,11740
W-TinyLFU,5000,0,52480,11740
W-TinyLFU,6000,0,43687,11740
W-TinyLFU,7000,0,36819,11740
W-TinyLFU,8000,0,31776,11740
W-TinyLFU,9000,0,29185,11740
W-TinyLFU,10000,0,25911,11740
W-TinyLFU,11000,0,23021,11740
W-TinyLFU,12000,0,20799,11740
W-TinyLFU,13000,0,19549,11740
W-TinyLFU,14000,0,18666,11740
W-TinyLFU,15000,0,17997,11740
W-TinyLFU,16000,0,17576,11740
W-TinyLFU,17000,0,17081,11740
WATT,100,0,0,0
WATT,700,0,0,0
WATT,800,0,0,0
WATT,900,0,0,0
WATT,1000,0,0,0
WATT,2000,0,0,0
WATT,3000,0,0,0
WATT,4000,0,0,0
WATT,5000,0,0,0
WATT,6000,0,0,0
WATT,7000,0,0,0
WATT,8000,0,0,0
WATT,9000,0,0,0
WATT,10000,0,0,0
WATT,11000,0,0,0
WATT,12000,0,0,0
WATT,13000,0,0,0
WATT,14000,0,0,0
WATT,15000,0,0,0
WATT,16000,0,0,0
WATT,17000,0,0,0
lru,100,0,285763,74810
lru,700,0,153293,54085
lru,800,0,143881,51843
lru,900,0,135379,49559
lru,1000,0,128009,47720
lru,2000,0,79198,35542
lru,3000,0,52200,28019
lru,4000,0,40145,23664
lru,5000,0,33561,20781
lru,6000,0,29063,18647
lru,7000,0,25644,16885
lru,8000,0,22909,15438
lru,9000,0,20970,14393
lru,10000,0,19466,13565
lru,11000,0,18277,12889
lru,12000,0,17400,12410
lru,13000,0,16807,12083
lru,14000,0,16420,11880
lru,15000,0,16208,11775
lru,16000,0,16129,11741
lru,17000,0,16128,11740
opt,100,0,201905,64819
opt,700,0,89076,37694
opt,800,0,82029,35880
opt,900,0,76132,34428
opt,1000,0,70904,33015
opt,2000,0,40141,23287
opt,3000,0,28974,18454
opt,4000,0,23704,15816
opt,5000,0,20287,14037
opt,6000,0,18287,12953
opt,7000,0,17252,12361
opt,8000,0,16252,11815
opt,9000,0,16128,11740
opt,10000,0,16128,11740
opt,11000,0,16128,11740
opt,12000,0,16128,11740
opt,13000,0,16128,11740
opt,14000,0,16128,11740
opt,15000,0,16128,11740
opt,16000,0,16128,11740
opt,17000,0,16128,11740
thebest,100,0,307988,71104
thebest,700,0,128503,49753
thebest,800,0,121917,48361
thebest,900,0,116033,47083
thebest,1000,0,110802,45974
thebest,2000,0,75399,37045
thebest,3000,0,57496,30830
thebest,4000,0,46766,26479
thebest,5000,0,39229,23019
thebest,6000,0,33660,20588
thebest,7000,0,29676,19114
thebest,8000,0,26931,18162
thebest,9000,0,25032,17456
thebest,10000,0,23616,16602
thebest,11000,0,22583,15966
thebest,12000,0,21944,15619
thebest,13000,0,21629,15274
thebest,14000,0,21505,15193
thebest,15000,0,21366,15096
thebest,16000,0,21246,14988
thebest,17000,0,21141,14927
