algo,ramSize,elements,reads,writes
2Q,100,999999,514934,60223
2Q,200,999999,443488,53215
2Q,300,999999,402539,49069
2Q,400,999999,372928,45986
2Q,500,999999,350314,43700
2Q,600,999999,331609,41743
2Q,700,999999,315562,40154
2Q,800,999999,301804,38776
2Q,900,999999,289644,37563
2Q,1000,999999,278617,36459
2Q,2000,999999,205714,28954
2Q,3000,999999,161533,24438
2Q,4000,999999,129222,21115
2Q,5000,999999,102730,18288
2Q,6000,999999,80397,15926
2Q,7000,999999,60738,13977
2Q,8000,999999,43341,12056
2Q,9000,999999,28532,10547
2Q,10000,999999,17661,9318
ARC,100,999999,502929,56396
ARC,200,999999,432427,49451
ARC,300,999999,392038,45650
ARC,400,999999,363338,42917
ARC,500,999999,340930,40889
ARC,600,999999,322811,39177
ARC,700,999999,307370,37786
ARC,800,999999,293942,36634
ARC,900,999999,282252,35578
ARC,1000,999999,271980,34633
ARC,2000,999999,203619,28846
ARC,3000,999999,163665,25584
ARC,4000,999999,127404,23384
ARC,5000,999999,102958,21778
ARC,6000,999999,76951,18528
ARC,7000,999999,55020,15707
ARC,8000,999999,36795,13024
ARC,9000,999999,21449,10552
ARC,10000,999999,10000,8527
CLOCK,100,999999,623066,77377
CLOCK,200,999999,539425,68967
CLOCK,300,999999,489178,63947
CLOCK,400,999999,452854,60283
CLOCK,500,999999,424663,57458
CLOCK,600,999999,401522,55134
CLOCK,700,999999,381488,53130
CLOCK,800,999999,364334,51422
CLOCK,900,999999,348648,49790
CLOCK,1000,999999,334679,48350
CLOCK,2000,999999,240613,38583
CLOCK,3000,999999,183184,32397
CLOCK,4000,999999,141218,27707
CLOCK,5000,999999,107961,23748
CLOCK,6000,999999,80687,20265
CLOCK,7000,999999,57559,17032
CLOCK,8000,999999,37992,13984
CLOCK,9000,999999,22073,11082
CLOCK,10000,999999,10000,8527
Clock Sweep,100,999999,599449,69805
Clock Sweep,200,999999,516598,61510
Clock Sweep,300,999999,467077,56643
Clock Sweep,400,999999,431434,53159
Clock Sweep,500,999999,403537,50369
Clock Sweep,600,999999,380541,47978
Clock Sweep,700,999999,361241,45981
Clock Sweep,800,999999,344048,44245
Clock Sweep,900,999999,328964,42780
Clock Sweep,1000,999999,315212,41373
Clock Sweep,2000,999999,223782,32017
Clock Sweep,3000,999999,168735,26379
Clock Sweep,4000,999999,129280,22249
Clock Sweep,5000,999999,98443,18890
Clock Sweep,6000,999999,73266,16140
Clock Sweep,7000,999999,52453,13762
Clock Sweep,8000,999999,35046,11656
Clock Sweep,9000,999999,20581,9866
Clock Sweep,10000,999999,10000,8527
EACLOCK,100,999999,552610,59501
EACLOCK,200,999999,441438,46259
EACLOCK,300,999999,389438,40829
EACLOCK,400,999999,354992,37333
EACLOCK,500,999999,330272,34829
EACLOCK,600,999999,312496,33175
EACLOCK,700,999999,293439,31256
EACLOCK,800,999999,273646,29080
EACLOCK,900,999999,261790,27961
EACLOCK,1000,999999,250633,26863
EACLOCK,2000,999999,177176,20123
EACLOCK,3000,999999,136211,16814
EACLOCK,4000,999999,107313,14635
EACLOCK,5000,999999,84710,13059
EACLOCK,6000,999999,65445,11709
EACLOCK,7000,999999,48641,10651
EACLOCK,8000,999999,33594,9724
EACLOCK,9000,999999,20471,9016
EACLOCK,10000,999999,10000,8527
EACLOCK-FDW,100,999999,521149,55780
EACLOCK-FDW,200,999999,431248,45350
EACLOCK-FDW,300,999999,381219,39810
EACLOCK-FDW,400,999999,347887,36363
EACLOCK-FDW,500,999999,324970,34122
EACLOCK-FDW,600,999999,306178,32287
EACLOCK-FDW,700,999999,288916,30642
EACLOCK-FDW,800,999999,277592,29816
EACLOCK-FDW,900,999999,272288,29939
EACLOCK-FDW,1000,999999,251262,27057
EACLOCK-FDW,2000,999999,177255,20162
EACLOCK-FDW,3000,999999,136421,16906
EACLOCK-FDW,4000,999999,107307,14646
EACLOCK-FDW,5000,999999,84682,13087
EACLOCK-FDW,6000,999999,65374,11724
EACLOCK-FDW,7000,999999,48578,10645
EACLOCK-FDW,8000,999999,33560,9724
EACLOCK-FDW,9000,999999,20471,9011
EACLOCK-FDW,10000,999999,10000,8527
EACLOCK-FWA,100,999999,557528,60333
EACLOCK-FWA,200,999999,469855,50999
EACLOCK-FWA,300,999999,377723,39089
EACLOCK-FWA,400,999999,360485,38080
EACLOCK-FWA,500,999999,349857,38030
EACLOCK-FWA,600,999999,323951,35075
EACLOCK-FWA,700,999999,301598,32513
EACLOCK-FWA,800,999999,271279,28627
EACLOCK-FWA,900,999999,259485,27457
EACLOCK-FWA,1000,999999,249250,26579
EACLOCK-FWA,2000,999999,177152,20029
EACLOCK-FWA,3000,999999,136487,16721
EACLOCK-FWA,4000,999999,107604,14556
EACLOCK-FWA,5000,999999,84864,12966
EACLOCK-FWA,6000,999999,65701,11643
EACLOCK-FWA,7000,999999,48796,10582
EACLOCK-FWA,8000,999999,33669,9674
EACLOCK-FWA,9000,999999,20490,8998
EACLOCK-FWA,10000,999999,10000,8527
Hyperbolic,100,999999,584439,66998
Hyperbolic,200,999999,502598,58780
Hyperbolic,300,999999,453991,54104
Hyperbolic,400,999999,418713,50556
Hyperbolic,500,999999,391293,47761
Hyperbolic,600,999999,368784,45449
Hyperbolic,700,999999,349912,43560
Hyperbolic,800,999999,333102,41883
Hyperbolic,900,999999,318440,40465
Hyperbolic,1000,999999,304987,39133
Hyperbolic,2000,999999,216163,30136
