algo,ramSize,elements,reads,writes
LIRS,1000,1000000,385984,47607
LIRS,2000,1000000,289314,37950
LIRS,3000,1000000,226789,31711
LIRS,4000,1000000,179380,26878
LIRS,5000,1000000,140135,22854
LIRS,6000,1000000,106584,19411
LIRS,7000,1000000,77180,16335
LIRS,8000,1000000,51245,13659
LIRS,9000,1000000,28470,11358
LIRS,10000,1000000,10000,9338
LRU-2,100,1000000,638790,71746
LRU-2,200,1000000,568642,65141
LRU-2,300,1000000,524653,61074
LRU-2,400,1000000,492715,58115
LRU-2,500,1000000,467173,55781
LRU-2,600,1000000,445371,53781
LRU-2,700,1000000,426761,52098
LRU-2,800,1000000,410202,50571
LRU-2,900,1000000,395300,49213
LRU-2,1000,1000000,381685,47973
LRU-2,2000,1000000,285730,39312
LRU-2,3000,1000000,223861,33645
LRU-2,4000,1000000,176873,29173
LRU-2,5000,1000000,138068,25430
LRU-2,6000,1000000,105050,21990
LRU-2,7000,1000000,76185,18779
LRU-2,8000,1000000,50681,15672
LRU-2,9000,1000000,28190,12494
LRU-2,10000,1000000,10000,9338
LeanEvict,100,1000000,750430,88266
LeanEvict,200,1000000,673082,81701
LeanEvict,300,1000000,624028,77528
LeanEvict,400,1000000,586946,74260
LeanEvict,500,1000000,557017,71759
LeanEvict,600,1000000,531683,69569
LeanEvict,700,1000000,509272,67577
LeanEvict,800,1000000,490449,65849
LeanEvict,900,1000000,472383,64323
LeanEvict,1000,1000000,456198,62827
LeanEvict,2000,1000000,341557,52630
LeanEvict,3000,1000000,265686,45463
LeanEvict,4000,1000000,207764,39639
LeanEvict,5000,1000000,161130,34598
LeanEvict,6000,1000000,120867,29768
LeanEvict,7000,1000000,86331,24968
LeanEvict,8000,1000000,56476,20119
LeanEvict,9000,1000000,30687,14998
LeanEvict,10000,1000000,10000,9338
Random,100,1000000,774755,93241
Random,200,1000000,701230,88918
Random,300,1000000,654217,85607
Random,400,1000000,618364,83032
Random,500,1000000,589019,80795
Random,600,1000000,564718,79245
Random,700,1000000,541857,77281
Random,800,1000000,523243,75922
Random,900,1000000,505387,74558
Random,1000,1000000,489555,73217
Random,2000,1000000,373792,63544
Random,3000,1000000,295755,56665
Random,4000,1000000,236161,50843
Random,5000,1000000,185994,45634
Random,6000,1000000,142973,40519
Random,7000,1000000,103837,34652
Random,8000,1000000,69427,28496
Random,9000,1000000,37445,20388
Random,10000,1000000,10000,9338
S3-FIFO,100,1000000,614775,70681
S3-FIFO,200,1000000,544977,63589
S3-FIFO,300,1000000,502121,59194
S3-FIFO,400,1000000,471015,56059
S3-FIFO,500,1000000,445978,53612
S3-FIFO,600,1000000,424830,51491
S3-FIFO,700,1000000,406979,49751
S3-FIFO,800,1000000,391105,48180
S3-FIFO,900,1000000,376931,46766
S3-FIFO,1000,1000000,363889,45473
S3-FIFO,2000,1000000,274831,36504
S3-FIFO,3000,1000000,218715,30758
S3-FIFO,4000,1000000,176171,26413
S3-FIFO,5000,1000000,140886,22671
S3-FIFO,6000,1000000,110122,19311
S3-FIFO,7000,1000000,81775,16334
S3-FIFO,8000,1000000,57321,13932
S3-FIFO,9000,1000000,35414,11924
S3-FIFO,10000,1000000,17943,10095
W-TinyLFU,100,1000000,591333,9338
W-TinyLFU,200,1000000,519991,9338
W-TinyLFU,300,1000000,476219,9338
W-TinyLFU,400,1000000,443907,9338
W-TinyLFU,500,1000000,418470,9338
W-TinyLFU,600,1000000,397309,9338
W-TinyLFU,700,1000000,379488,9338
W-TinyLFU,800,1000000,363235,9338
W-TinyLFU,900,1000000,349214,9338
W-TinyLFU,1000,1000000,336433,9338
W-TinyLFU,2000,1000000,249866,9338
W-TinyLFU,3000,1000000,197292,9338
W-TinyLFU,4000,1000000,158260,9338
W-TinyLFU,5000,1000000,126424,9338
W-TinyLFU,6000,1000000,99066,9338
W-TinyLFU,7000,1000000,74743,9338
W-TinyLFU,8000,1000000,52696,9338
W-TinyLFU,9000,1000000,31975,9338
W-TinyLFU,10000,1000000,14033,9338
WATT,100,1000000,654573,68708
WATT,200,1000000,579042,61328
WATT,300,1000000,532546,57022
WATT,400,1000000,498684,53903
WATT,500,1000000,471393,51295
WATT,600,1000000,448725,49220
WATT,700,1000000,429010,47427
WATT,800,1000000,411693,45896
WATT,900,1000000,396167,44519
WATT,1000,1000000,382165,43197
WATT,2000,1000000,283672,34570
WATT,3000,1000000,221429,29074
WATT,4000,1000000,174615,25043
WATT,5000,1000000,136605,21823
WATT,6000,1000000,104053,18920
WATT,7000,1000000,76249,16452
WATT,8000,1000000,51202,14097
WATT,9000,1000000,29480,11929
WATT,10000,1000000,10000,9338
lru,100,1000000,738311,85601
lru,200,1000000,660753,78829
lru,300,1000000,611268,74610
lru,400,1000000,573957,71355
lru,500,1000000,543869,68654
lru,600,1000000,518449,66327
lru,700,1000000,496235,64372
lru,800,1000000,476749,62618
lru,900,1000000,459120,60991
lru,1000,1000000,443045,59532
lru,2000,1000000,329349,49235
lru,3000,1000000,254912,42194
lru,4000,1000000,198853,36595
lru,5000,1000000,153438,31679
lru,6000,1000000,115026,27198
lru,7000,1000000,82213,22899
lru,8000,1000000,53914,18512
lru,9000,1000000,29263,13997
lru,10000,1000000,10000,9338
opt,100,1000000,527888,67246
opt,200,1000000,449816,60202
opt,300,1000000,402424,55895
opt,400,1000000,368134,52837
opt,500,1000000,341148,50283
opt,600,1000000,318813,48308
opt,700,1000000,299745,46528
opt,800,1000000,283142,44953
opt,900,1000000,268429,43524
opt,1000,1000000,255334,42240
opt,2000,1000000,168857,33426
opt,3000,1000000,119723,27764
opt,4000,1000000,86631,23546
opt,5000,1000000,62798,20041
opt,6000,1000000,44849,17013
opt,7000,1000000,31324,14487
opt,8000,1000000,21213,12243
opt,9000,1000000,14065,10373
opt,10000,1000000,10000,9338
