algo,ramSize,elements,reads,writes
Hyperbolic,8000,1000000,23914,14295
Hyperbolic,9000,1000000,21618,13474
Hyperbolic,10000,1000000,19831,12887
Hyperbolic,11000,1000000,18534,12424
Hyperbolic,12000,1000000,17588,12144
Hyperbolic,13000,1000000,16948,11985
Hyperbolic,14000,1000000,16480,11840
Hyperbolic,15000,1000000,16230,11773
Hyperbolic,16000,1000000,16129,11740
Hyperbolic,17000,1000000,16128,11740
LIRS,100,1000000,324005,112422
LIRS,700,1000000,136122,50178
LIRS,800,1000000,127896,48603
LIRS,900,1000000,120908,47225
LIRS,1000,1000000,114361,46077
LIRS,2000,1000000,68748,38403
LIRS,3000,1000000,48680,32880
LIRS,4000,1000000,39199,28602
LIRS,5000,1000000,32985,25457
LIRS,6000,1000000,28474,22897
LIRS,7000,1000000,25072,20858
LIRS,8000,1000000,22594,19145
LIRS,9000,1000000,20653,17618
LIRS,10000,1000000,19173,16346
LIRS,11000,1000000,18105,15322
LIRS,12000,1000000,17364,14467
LIRS,13000,1000000,16805,13599
LIRS,14000,1000000,16440,12852
LIRS,15000,1000000,16208,12191
LIRS,16000,1000000,16130,11784
LIRS,17000,1000000,16128,11740
LRU-2,100,1000000,351005,77520
LRU-2,700,1000000,164232,48192
LRU-2,800,1000000,153975,46361
LRU-2,900,1000000,145371,44896
LRU-2,1000,1000000,137294,43708
LRU-2,2000,1000000,84845,34801
LRU-2,3000,1000000,62068,28817
LRU-2,4000,1000000,50057,24507
LRU-2,5000,1000000,41414,21219
LRU-2,6000,1000000,34760,18603
LRU-2,7000,1000000,29876,16656
LRU-2,8000,1000000,26004,15080
LRU-2,9000,1000000,23005,13821
LRU-2,10000,1000000,20689,12950
LRU-2,11000,1000000,19052,12393
LRU-2,12000,1000000,17828,12094
LRU-2,13000,1000000,16933,11931
LRU-2,14000,1000000,16449,11826
LRU-2,15000,1000000,16218,11765
LRU-2,16000,1000000,16129,11741
LRU-2,17000,1000000,16128,11740
LeanEvict,100,1000000,294006,76502
LeanEvict,700,1000000,159585,55549
LeanEvict,800,1000000,149610,53460
LeanEvict,900,1000000,140687,51434
LeanEvict,1000,1000000,132874,49656
LeanEvict,2000,1000000,83633,37317
LeanEvict,3000,1000000,58105,29917
LeanEvict,4000,1000000,43998,24983
LeanEvict,5000,1000000,35897,21531
LeanEvict,6000,1000000,30800,19314
LeanEvict,7000,1000000,27015,17535
LeanEvict,8000,1000000,24094,16026
LeanEvict,9000,1000000,21996,14931
LeanEvict,10000,1000000,20259,14095
LeanEvict,11000,1000000,18885,13303
LeanEvict,12000,1000000,17852,12717
LeanEvict,13000,1000000,17060,12274
LeanEvict,14000,1000000,16551,11986
LeanEvict,15000,1000000,16234,11802
LeanEvict,16000,1000000,16131,11742
LeanEvict,17000,1000000,16128,11740
Random,100,1000000,324344,78427
Random,700,1000000,178221,58544
Random,800,1000000,167638,56818
Random,900,1000000,158915,55234
Random,1000,1000000,150511,53439
Random,2000,1000000,99269,42582
Random,3000,1000000,72591,35329
Random,4000,1000000,57433,30427
Random,5000,1000000,47056,26410
Random,6000,1000000,39646,23368
Random,7000,1000000,34591,21026
Random,8000,1000000,30277,19016
Random,9000,1000000,26858,17342
Random,10000,1000000,24143,15937
Random,11000,1000000,21770,14716
Random,12000,1000000,19976,13798
Random,13000,1000000,18536,13021
Random,14000,1000000,17340,12358
Random,15000,1000000,16528,11930
Random,16000,1000000,16137,11744
Random,17000,1000000,16128,11740
S3-FIFO,100,1000000,307988,71104
S3-FIFO,700,1000000,128503,49753
S3-FIFO,800,1000000,121917,48361
S3-FIFO,900,1000000,116033,47083
S3-FIFO,1000,1000000,110802,45974
S3-FIFO,2000,1000000,75399,37045
S3-FIFO,3000,1000000,57496,30830
S3-FIFO,4000,1000000,46766,26479
S3-FIFO,5000,1000000,39229,23019
S3-FIFO,6000,1000000,33660,20588
S3-FIFO,7000,1000000,29676,19114
S3-FIFO,8000,1000000,26931,18162
S3-FIFO,9000,1000000,25032,17456
S3-FIFO,10000,1000000,23616,16602
S3-FIFO,11000,1000000,22583,15966
S3-FIFO,12000,1000000,21944,15619
S3-FIFO,13000,1000000,21629,15274
S3-FIFO,14000,1000000,21505,15193
S3-FIFO,15000,1000000,21366,15096
S3-FIFO,16000,1000000,21246,14988
S3-FIFO,17000,1000000,21141,14927
W-TinyLFU,100,1000000,308988,11740
W-TinyLFU,700,1000000,164220,11740
W-TinyLFU,800,1000000,156221,11740
W-TinyLFU,900,1000000,149034,11740
W-TinyLFU,1000,1000000,140684,11740
W-TinyLFU,2000,1000000,94011,11740
W-TinyLFU,3000,1000000,76735,11740
W-TinyLFU,4000,1000000,63345,11740
W-TinyLFU,5000,1000000,52480,11740
W-TinyLFU,6000,1000000,43687,11740
W-TinyLFU,7000,1000000,36819,11740
W-TinyLFU,8000,1000000,31776,11740
W-TinyLFU,9000,1000000,29185,11740
W-TinyLFU,10000,1000000,25911,11740
W-TinyLFU,11000,1000000,23021,11740
W-TinyLFU,12000,1000000,20799,11740
W-TinyLFU,13000,1000000,19549,11740
W-TinyLFU,14000,1000000,18666,11740
W-TinyLFU,15000,1000000,17997,11740
W-TinyLFU,16000,1000000,17576,11740
W-TinyLFU,17000,1000000,17081,11740
WATT,100,1000000,291087,72683
WATT,700,1000000,135253,43122
WATT,800,1000000,128210,41637
WATT,900,1000000,121577,40309
WATT,1000,1000000,115407,38869
WATT,2000,1000000,78366,29686
WATT,3000,1000000,58099,24083
WATT,4000,1000000,44892,20290
WATT,5000,1000000,36474,17972
WATT,6000,1000000,30714,16322
WATT,7000,1000000,26438,15185
WATT,8000,1000000,23488,14348
WATT,9000,1000000,21264,13638
WATT,10000,1000000,19585,13040
WATT,11000,1000000,18485,12583
WATT,12000,1000000,17626,12287
WATT,13000,1000000,16992,12037
WATT,14000,1000000,16524,11885
WATT,15000,1000000,16228,11764
WATT,16000,1000000,16129,11741
WATT,17000,1000000,16128,11740
lru,100,1000000,285763,74810
lru,700,1000000,153293,54085
lru,800,1000000,143881,51843
lru,900,1000000,135379,49559
lru,1000,1000000,128009,47720
lru,2000,1000000,79198,35542
lru,3000,1000000,52200,28019
lru,4000,1000000,40145,23664
lru,5000,1000000,33561,20781
lru,6000,1000000,29063,18647
lru,7000,1000000,25644,16885
lru,8000,1000000,22909,15438
lru,9000,1000000,20970,14393
lru,10000,1000000,19466,13565
lru,11000,1000000,18277,12889
lru,12000,1000000,17400,12410
lru,13000,1000000,16807,12083
lru,14000,1000000,16420,11880
lru,15000,1000000,16208,11775
lru,16000,1000000,16129,11741
lru,17000,1000000,16128,11740
opt,100,1000000,201905,64819
opt,700,1000000,89076,37694
opt,800,1000000,82029,35880
opt,900,1000000,76132,34428
opt,1000,1000000,70904,33015
opt,2000,1000000,40141,23287
opt,3000,1000000,28974,18454
opt,4000,1000000,23704,15816
opt,5000,1000000,20287,14037
opt,6000,1000000,18287,12953
opt,7000,1000000,17252,12361
opt,8000,1000000,16252,11815
opt,9000,1000000,16128,11740
opt,10000,1000000,16128,11740
opt,11000,1000000,16128,11740
opt,12000,1000000,16128,11740
opt,13000,1000000,16128,11740
opt,14000,1000000,16128,11740
opt,15000,1000000,16128,11740
opt,16000,1000000,16128,11740
opt,17000,1000000,16128,11740
