algo,ramSize,elements,reads,writes
EACLOCK-FWA,10000,1482866,114304,2303
EACLOCK-FWA,20000,1482866,88251,2215
EACLOCK-FWA,30000,1482866,75566,2192
EACLOCK-FWA,40000,1482866,69656,2188
EACLOCK-FWA,50000,1482866,66770,2182
EACLOCK-FWA,60000,1482866,65797,2180
EACLOCK-FWA,70000,1482866,65656,2180
Hyperbolic,100,1482866,206756,12590
Hyperbolic,600,1482866,165042,6461
Hyperbolic,700,1482866,162603,6034
Hyperbolic,800,1482866,160534,5676
Hyperbolic,900,1482866,158764,5428
Hyperbolic,1000,1482866,157291,5186
Hyperbolic,2000,1482866,146941,4104
Hyperbolic,3000,1482866,140184,3637
Hyperbolic,4000,1482866,135027,3343
Hyperbolic,5000,1482866,130540,3105
Hyperbolic,6000,1482866,126340,2926
Hyperbolic,7000,1482866,122408,2764
Hyperbolic,8000,1482866,118805,2648
Hyperbolic,9000,1482866,115345,2553
Hyperbolic,10000,1482866,112051,2496
Hyperbolic,20000,1482866,88118,2276
Hyperbolic,30000,1482866,75870,2221
Hyperbolic,40000,1482866,69719,2197
Hyperbolic,50000,1482866,66858,2182
Hyperbolic,60000,1482866,65803,2180
Hyperbolic,70000,1482866,65656,2180
LIRS,100,1482866,216603,13243
LIRS,600,1482866,159520,5318
LIRS,700,1482866,157352,5040
LIRS,800,1482866,155478,4828
LIRS,900,1482866,153768,4657
LIRS,1000,1482866,152422,4527
LIRS,2000,1482866,143158,3825
LIRS,3000,1482866,136590,3486
LIRS,4000,1482866,131048,3263
LIRS,5000,1482866,125949,3065
LIRS,6000,1482866,121282,2910
LIRS,7000,1482866,117040,2806
LIRS,8000,1482866,113242,2698
LIRS,9000,1482866,109717,2617
LIRS,10000,1482866,106573,2578
LIRS,20000,1482866,84009,2325
LIRS,30000,1482866,73826,2251
LIRS,40000,1482866,69002,2223
LIRS,50000,1482866,66721,2197
LIRS,60000,1482866,65752,2184
LIRS,70000,1482866,65656,2180
LRU-2,100,1482866,249823,15616
LRU-2,600,1482866,183197,6651
LRU-2,700,1482866,179948,6286
LRU-2,800,1482866,177078,5984
LRU-2,900,1482866,174969,5756
LRU-2,1000,1482866,173073,5553
LRU-2,2000,1482866,161517,4498
LRU-2,3000,1482866,153904,3921
LRU-2,4000,1482866,147662,3647
LRU-2,5000,1482866,142079,3370
LRU-2,6000,1482866,136896,3197
LRU-2,7000,1482866,132119,3027
LRU-2,8000,1482866,127875,2921
LRU-2,9000,1482866,123907,2823
LRU-2,10000,1482866,120188,2735
LRU-2,20000,1482866,93118,2386
LRU-2,30000,1482866,78057,2275
LRU-2,40000,1482866,70389,2206
LRU-2,50000,1482866,66768,2183
LRU-2,60000,1482866,65797,2180
LRU-2,70000,1482866,65656,2180
LeanEvict,100,1482866,219674,13196
LeanEvict,600,1482866,169791,6980
LeanEvict,700,1482866,166464,6510
LeanEvict,800,1482866,163683,6154
LeanEvict,900,1482866,161370,5884
LeanEvict,1000,1482866,159332,5653
LeanEvict,2000,1482866,146640,4475
LeanEvict,3000,1482866,138824,4007
LeanEvict,4000,1482866,132859,3764
LeanEvict,5000,1482866,127642,3524
LeanEvict,6000,1482866,122987,3329
LeanEvict,7000,1482866,119103,3244
LeanEvict,8000,1482866,115505,3109
LeanEvict,9000,1482866,112059,3016
LeanEvict,10000,1482866,108909,2943
LeanEvict,20000,1482866,87167,2493
LeanEvict,30000,1482866,76225,2319
LeanEvict,40000,1482866,70190,2251
LeanEvict,50000,1482866,67217,2206
LeanEvict,60000,1482866,65820,2182
LeanEvict,70000,1482866,65656,2180
Random,100,1482866,246366,16138
Random,600,1482866,181894,8437
Random,700,1482866,177870,8000
Random,800,1482866,174449,7605
Random,900,1482866,172000,7205
Random,1000,1482866,169599,6969
Random,2000,1482866,154298,5482
Random,3000,1482866,145400,4867
Random,4000,1482866,138601,4430
Random,5000,1482866,133135,4119
Random,6000,1482866,128397,3872
Random,7000,1482866,124555,3743
Random,8000,1482866,120804,3590
Random,9000,1482866,117255,3447
Random,10000,1482866,114103,3339
Random,20000,1482866,92798,2777
Random,30000,1482866,80840,2497
Random,40000,1482866,73259,2341
Random,50000,1482866,68624,2254
Random,60000,1482866,66108,2191
Random,70000,1482866,65656,2180
S3-FIFO,100,1482866,215237,10461
S3-FIFO,600,1482866,165968,4402
S3-FIFO,700,1482866,163510,4189
S3-FIFO,800,1482866,161293,4000
S3-FIFO,900,1482866,159515,3933
S3-FIFO,1000,1482866,157858,3764
S3-FIFO,2000,1482866,147467,3238
S3-FIFO,3000,1482866,140537,2993
S3-FIFO,4000,1482866,134603,2810
S3-FIFO,5000,1482866,129528,2701
S3-FIFO,6000,1482866,124896,2612
S3-FIFO,7000,1482866,120675,2569
S3-FIFO,8000,1482866,117104,2510
S3-FIFO,9000,1482866,113466,2476
S3-FIFO,10000,1482866,110428,2459
S3-FIFO,20000,1482866,89909,2300
S3-FIFO,30000,1482866,81340,2234
S3-FIFO,40000,1482866,80242,2217
S3-FIFO,50000,1482866,79784,2216
S3-FIFO,60000,1482866,79240,2215
S3-FIFO,70000,1482866,78767,2215
W-TinyLFU,100,1482866,444386,2180
W-TinyLFU,600,1482866,162392,2180
W-TinyLFU,700,1482866,160820,2180
W-TinyLFU,800,1482866,159520,2180
W-TinyLFU,900,1482866,157455,2180
W-TinyLFU,1000,1482866,149744,2180
W-TinyLFU,2000,1482866,137494,2180
W-TinyLFU,3000,1482866,132869,2180
W-TinyLFU,4000,1482866,129585,2180
W-TinyLFU,5000,1482866,127110,2180
W-TinyLFU,6000,1482866,124408,2180
W-TinyLFU,7000,1482866,122078,2180
W-TinyLFU,8000,1482866,119218,2180
W-TinyLFU,9000,1482866,118941,2180
W-TinyLFU,10000,1482866,115784,2180
W-TinyLFU,20000,1482866,102671,2180
W-TinyLFU,30000,1482866,92104,2180
W-TinyLFU,40000,1482866,86925,2180
W-TinyLFU,50000,1482866,82646,2180
W-TinyLFU,60000,1482866,79166,2180
W-TinyLFU,70000,1482866,76014,2180
WATT,100,1482866,196429,8598
WATT,600,1482866,152378,4080
WATT,700,1482866,150491,3967
WATT,800,1482866,149075,3867
WATT,900,1482866,147443,3776
WATT,1000,1482866,146145,3705
WATT,2000,1482866,135390,3190
WATT,3000,1482866,127227,2959
WATT,4000,1482866,120803,2888
WATT,5000,1482866,115490,2747
WATT,6000,1482866,110705,2697
WATT,7000,1482866,106572,2608
WATT,8000,1482866,103188,2555
WATT,9000,1482866,100035,2478
WATT,10000,1482866,96861,2464
WATT,20000,1482866,78829,2260
WATT,30000,1482866,71649,2204
WATT,40000,1482866,68350,2191
WATT,50000,1482866,66574,2181
WATT,60000,1482866,65746,2180
