algo,ramSize,elements,reads,writes
LIRS,10000,1000000,10000,0
LRU-2,100,1000000,638790,0
LRU-2,200,1000000,568642,0
LRU-2,300,1000000,524653,0
LRU-2,400,1000000,492715,0
LRU-2,500,1000000,467173,0
LRU-2,600,1000000,445371,0
LRU-2,700,1000000,426761,0
LRU-2,800,1000000,410202,0
LRU-2,900,1000000,395300,0
LRU-2,1000,1000000,381685,0
LRU-2,2000,1000000,285730,0
LRU-2,3000,1000000,223861,0
LRU-2,4000,1000000,176873,0
LRU-2,5000,1000000,138068,0
LRU-2,6000,1000000,105050,0
LRU-2,7000,1000000,76185,0
LRU-2,8000,1000000,50681,0
LRU-2,9000,1000000,28190,0
LRU-2,10000,1000000,10000,0
LeanEvict,100,1000000,750430,0
LeanEvict,200,1000000,673082,0
LeanEvict,300,1000000,624028,0
LeanEvict,400,1000000,586946,0
LeanEvict,500,1000000,557017,0
LeanEvict,600,1000000,531683,0
LeanEvict,700,1000000,509272,0
LeanEvict,800,1000000,490449,0
LeanEvict,900,1000000,472383,0
LeanEvict,1000,1000000,456198,0
LeanEvict,2000,1000000,341557,0
LeanEvict,3000,1000000,265686,0
LeanEvict,4000,1000000,207764,0
LeanEvict,5000,1000000,161130,0
LeanEvict,6000,1000000,120867,0
LeanEvict,7000,1000000,86331,0
LeanEvict,8000,1000000,56476,0
LeanEvict,9000,1000000,30687,0
LeanEvict,10000,1000000,10000,0
Random,100,1000000,774755,0
Random,200,1000000,701230,0
Random,300,1000000,654217,0
Random,400,1000000,618364,0
Random,500,1000000,589019,0
Random,600,1000000,564718,0
Random,700,1000000,541857,0
Random,800,1000000,523243,0
Random,900,1000000,505387,0
Random,1000,1000000,489555,0
Random,2000,1000000,373792,0
Random,3000,1000000,295755,0
Random,4000,1000000,236161,0
Random,5000,1000000,185994,0
Random,6000,1000000,142973,0
Random,7000,1000000,103837,0
Random,8000,1000000,69427,0
Random,9000,1000000,37445,0
Random,10000,1000000,10000,0
S3-FIFO,100,1000000,614775,0
S3-FIFO,200,1000000,544977,0
S3-FIFO,300,1000000,502121,0
S3-FIFO,400,1000000,471015,0
S3-FIFO,500,1000000,445978,0
S3-FIFO,600,1000000,424830,0
S3-FIFO,700,1000000,406979,0
S3-FIFO,800,1000000,391105,0
S3-FIFO,900,1000000,376931,0
S3-FIFO,1000,1000000,363889,0
S3-FIFO,2000,1000000,274831,0
S3-FIFO,3000,1000000,218715,0
S3-FIFO,4000,1000000,176171,0
S3-FIFO,5000,1000000,140886,0
S3-FIFO,6000,1000000,110122,0
S3-FIFO,7000,1000000,81775,0
S3-FIFO,8000,1000000,57321,0
S3-FIFO,9000,1000000,35414,0
S3-FIFO,10000,1000000,17943,0
WATT,100,1000000,655634,0
WATT,200,1000000,579693,0
WATT,300,1000000,533104,0
WATT,400,1000000,498488,0
WATT,500,1000000,471016,0
WATT,600,1000000,448422,0
WATT,700,1000000,428590,0
WATT,800,1000000,411369,0
WATT,900,1000000,396079,0
WATT,1000,1000000,382076,0
WATT,2000,1000000,284388,0
WATT,3000,1000000,221788,0
WATT,4000,1000000,175127,0
WATT,5000,1000000,137016,0
WATT,6000,1000000,104532,0
WATT,7000,1000000,76554,0
WATT,8000,1000000,51469,0
WATT,9000,1000000,29571,0
WATT,10000,1000000,10000,0
amclock,100,1000000,634705,0
amclock,200,1000000,560509,0
amclock,300,1000000,510919,0
amclock,400,1000000,474689,0
amclock,500,1000000,450429,0
amclock,600,1000000,432046,0
amclock,700,1000000,407643,0
amclock,800,1000000,391860,0
amclock,900,1000000,378411,0
amclock,1000,1000000,357397,0
amclock,2000,1000000,259957,0
amclock,3000,1000000,210131,0
amclock,4000,1000000,160634,0
amclock,5000,1000000,123906,0
